,hash_size,table_number,index,local_cyber,server_calculation,local_recover
466,104,3,1,9.899466753,0.050446987,0.02741456
467,104,3,2,10.05767298,0.051758766,0.027595758
468,104,3,3,9.972149134,0.050749779,0.027693272
469,104,3,4,10.2447412,0.051268339,0.028184652
470,104,3,5,10.1041441,0.051625967,0.028093576
471,104,3,6,10.40908718,0.052004814,0.027372837
472,104,3,7,10.82868624,0.055424213,0.028852701
473,104,3,8,11.00527716,0.052575588,0.027343035
474,104,3,9,10.86835074,0.096055984,0.026856422
475,112,3,0,10.04999423,0.055253267,0.030652523
476,112,3,1,9.919268131,0.06057024,0.03110075
477,112,3,2,10.13669133,0.061098814,0.030533791
478,112,3,3,9.988978148,0.054416656,0.029127121
479,112,3,4,9.919490814,0.05486846,0.028572559
480,112,3,5,10.10024595,0.093771219,0.031699181
481,112,3,6,10.63954663,0.055209875,0.029150248
482,112,3,7,10.87013912,0.069128513,0.028759241
483,112,3,8,11.01947522,0.061501265,0.03344202
484,112,3,9,11.01136589,0.06258893,0.031625986
485,120,3,0,9.952364445,0.057599306,0.031158924
486,120,3,1,10.24059963,0.056645393,0.030860901
487,120,3,2,9.989136219,0.057614326,0.030122042
488,120,3,3,9.951474905,0.056900263,0.030987501
489,120,3,4,9.8648417,0.056977272,0.029560804
490,120,3,5,9.995321751,0.056744099,0.030340672
491,120,3,6,10.75597858,0.061760426,0.02990365
492,120,3,7,10.92799425,0.060014725,0.030228853
493,120,3,8,10.93073583,0.059857368,0.029376984
494,120,3,9,10.82591963,0.060035944,0.030746937
495,128,3,0,10.11481118,0.070133209,0.038060904
496,128,3,1,10.05978513,0.060189962,0.035217285
497,128,3,2,10.0381341,0.094774723,0.03349328
498,128,3,3,10.20966315,0.059726715,0.032443285
499,128,3,4,9.935936451,0.059718609,0.041126251
500,128,3,5,10.04593921,0.068715811,0.03479743
501,128,3,6,10.69089007,0.061026335,0.036164761
502,128,3,7,10.99980998,0.063476801,0.031998396
503,128,3,8,10.94152975,0.071713924,0.034445524
504,128,3,9,10.95647478,0.063179731,0.032739878
